GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,IsAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive
FCH,0,0,227,165,45,45,1,0,0,0,0.15,1
FCH,1,0,227,165,45,45,1,0,0,0,0.05,0.65
FCO,0,0,196,274,44,45,1,0,0,0,0.15,1
FCO,1,0,319,2,44,44,1,0,0,0,0.05,0.65
FCU,0,0,196,274,145,45,1,0,0,0,0.1,0.95
FCU,1,0,319,274,45,45,1,0,0,0,0,0.65
FPI,0,0,213,215,45,45,1,0,0,0,0.1,1
FPI,1,0,260,127,45,45,1,0,0,0,0.02,0.6
ORT,0,0,244,60,60,60,1,0,0,0,0.1,0.75
ORT,1,0,244,60,60,60,1,0,0,0,0.002,1
WHB,0,0,335,121,30,30,1,0,0,0,0,1
WHB,1,0,335,121,30,30,1,0,0,0,0,1